date,btc_adj_close,btc_volume,eth_adj_close,eth_volume,sp500_adj_close,sp500_volume,vti_adj_close,vti_volume,agg_adj_close,agg_volume,tyield
14/2/2023,22220.80469,26792596581,1556.875122,9249575045,4136.129883,3929200000,199.1457062,2743400,88.23075104,9559500,3.77
15/2/2023,24307.8418,32483312909,1673.745972,10015035156,4147.600098,4075980000,200.0381622,2001600,88.06031036,6486500,3.81
16/2/2023,23623.47461,39316664596,1640.067627,12704861676,4090.409912,4143660000,197.3704681,2458800,87.69258881,5235600,3.86
17/2/2023,24565.60156,41358451255,1694.783325,9802443159,4079.090088,4045480000,196.7947235,2324000,87.89886475,5956300,3.82
21/2/2023,24436.35352,31252098714,1658.036377,8721608198,3997.340088,4121590000,192.7164001,3110800,87.07370758,8369600,3.95
22/2/2023,24188.84375,30199996781,1643.231689,9189387004,3991.050049,4079320000,192.553299,3011700,87.30690002,5862300,3.93
23/2/2023,23947.49219,30476264066,1651.073853,9013236167,4012.320068,3952940000,193.5800171,3440100,87.62081909,8527200,3.88
24/2/2023,23198.12695,26811744928,1608.373169,8909129423,3970.040039,3877700000,191.4209595,3020600,87.11854553,4866800,3.95
27/2/2023,23522.87109,22660763494,1634.326416,7239824677,3982.23999,3836950000,192.1022644,2850300,87.28896332,5040000,3.92
28/2/2023,23147.35352,20535363434,1605.895142,6323676957,3970.149902,5043400000,191.4593506,2299100,87.27997589,8575000,3.92
1/3/2023,23646.55078,24662841200,1663.433716,7701847224,3951.389893,4249480000,191.9199371,4176000,86.7800827,9125300,4.01
2/3/2023,23475.4668,20386398516,1647.319336,7080950926,3981.350098,4244900000,192.2174072,3364000,86.60028839,9247400,4.08
3/3/2023,22362.67969,26062404610,1569.167603,9922240199,4045.639893,4084730000,195.3457031,2484700,87.28359222,7267000,3.97
6/3/2023,22429.75781,17353192895,1567.398682,5245153345,4048.419922,4000870000,195.0866394,3812700,87.0677948,4188500,3.98
7/3/2023,22219.76953,22765452204,1561.933105,6854058349,3986.370117,3922500000,192.1790466,3346700,86.95095825,6013200,3.97
8/3/2023,21718.08008,22536575684,1534.088257,7130327525,3992.01001,3535570000,192.4285431,1985900,86.86103058,8044000,3.98
9/3/2023,20363.02148,30364664171,1438.660767,9457897583,3918.320068,4445260000,188.62854,2974300,87.17571259,7054400,3.93
10/3/2023,20187.24414,39578257695,1429.158081,12665194936,3861.590088,5518190000,185.4522247,6310500,88.19167328,7515700,3.7
13/3/2023,24197.5332,49466362688,1680.30896,15711468959,3855.76001,6558020000,184.6845398,6253700,88.89295959,10343900,3.55
14/3/2023,24746.07422,54622230164,1703.50708,16159781303,3919.290039,5665870000,187.9759674,4473800,88.37149811,8159800,3.64
15/3/2023,24375.96094,43655701450,1656.180542,12715339905,3891.929932,6594010000,186.5269928,3855400,89.25260162,11133700,3.51
16/3/2023,25052.78906,33866061747,1677.215454,9364980166,3960.280029,5695790000,189.7512512,3224900,88.90195465,15217800,3.56
17/3/2023,27423.92969,50730261335,1792.485107,12467445117,3916.639893,9354280000,187.3042603,2902400,89.45939636,8277500,3.39
20/3/2023,27767.23633,44774027664,1735.321289,10978325507,3951.570068,5347140000,188.9355927,2898100,89.0997467,6346400,3.47
21/3/2023,28175.81641,36102192830,1806.760742,10758627746,4002.870117,4920240000,191.6320496,2421700,88.83002472,5499100,3.59
22/3/2023,27307.4375,33382021890,1737.717041,12484103560,3936.969971,4533010000,188.2062988,2187900,89.68417358,7585400,3.48
23/3/2023,28333.97266,24220433689,1816.405151,11012966854,3948.719971,4991600000,188.5492554,2629700,89.89994812,9949700,3.38
24/3/2023,27493.28516,25980310960,1752.0448,10913669383,3970.98999,4583970000,189.7343292,2324800,90.05276489,6217700,3.38
27/3/2023,27139.88867,18188895178,1715.460815,8585750760,3977.530029,4233540000,190.2160492,2425400,89.08174133,6823400,3.53
28/3/2023,27268.13086,17783600385,1772.785645,8346890042,3971.27002,4014600000,189.9462891,3678600,88.94689941,6356200,3.55
29/3/2023,28348.44141,20684945906,1793.001831,9136176952,4027.810059,4145250000,192.6825562,3486500,89.05478668,5111300,3.57
30/3/2023,28033.5625,22435349951,1792.737183,9724496987,4050.830078,3930860000,193.7230682,2259200,89.15369415,4251900,3.55
31/3/2023,28478.48438,19001327598,1822.022095,9149379763,4109.310059,4525120000,196.642334,2986300,89.58525085,8521600,3.48
3/4/2023,27790.2207,19556501327,1810.297119,9643826401,4124.509766,4234700000,197.1626129,3068200,89.97462463,7567100,3.43
4/4/2023,28168.08984,15284538859,1871.005127,10398322335,4100.600098,4227800000,195.8426514,2881800,90.3081665,8925200,3.35
5/4/2023,28177.98438,17052315986,1909.114014,10319231689,4090.379883,3968020000,195.1296997,3119400,90.61462402,9883500,3.3
6/4/2023,28044.14063,13837809380,1872.922607,8263191830,4105.02002,3486690000,195.775238,1989800,90.5335083,6105200,3.3
10/4/2023,29652.98047,19282400094,1911.20752,8380134275,4109.109863,3423650000,196.218399,2545300,89.91156769,4478000,3.41
11/4/2023,30235.05859,20121259843,1892.189697,8877222956,4108.939941,3665830000,196.4207764,3389300,89.96562195,4543800,3.43
12/4/2023,30139.05273,18651929926,1920.682129,11010714187,4091.949951,3633120000,195.5921631,2431200,90.0737915,7226000,3.41
13/4/2023,30399.06641,17487721001,2012.634644,12546950499,4146.220215,3596590000,198.1356964,2197600,90.03775024,3964800,3.45
14/4/2023,30485.69922,22659995079,2101.635498,16298099411,4137.640137,3575690000,197.5865479,4142000,89.59605408,4794100,3.52
17/4/2023,29445.04492,17872186762,2076.24292,9648882546,4151.319824,3611180000,198.3765411,2780400,89.145401,4441300,3.6
18/4/2023,30397.55273,19480529496,2104.537354,9134015143,4154.870117,3536640000,198.4729156,2784500,89.27159119,4753000,3.58
19/4/2023,28822.67969,24571565421,1936.403442,13779745451,4154.52002,3572560000,198.5692596,2531400,89.13639832,3592900,3.6
20/4/2023,28245.98828,21340360360,1943.097656,11324135406,4129.790039,3772080000,197.3360596,2563100,89.54200745,5092400,3.54
21/4/2023,27276.91016,20759504330,1849.999878,12044274581,4133.52002,3611750000,197.5094452,2341600,89.38874817,5367300,3.57
24/4/2023,27525.33984,17703288330,1842.757446,8438191338,4137.040039,3290940000,197.5865479,3704400,89.74028015,3256900,3.52
25/4/2023,28307.59766,17733373139,1866.753662,8677255481,4071.629883,3978640000,194.2915039,2606400,90.29917145,5065400,3.4
26/4/2023,28422.70117,31854242019,1866.564209,14356524696,4055.98999,3837030000,193.4147644,2762300,89.96562195,3723600,3.43
27/4/2023,29473.78711,27153445027,1908.786377,14008145806,4135.350098,3750550000,197.0470123,2254600,89.64112091,4018300,3.53
28/4/2023,29340.26172,17544464887,1892.512817,7691759733,4169.47998,4087800000,198.7619781,2309100,90.10085297,5469900,3.44
1/5/2023,28091.56836,18655599976,1831.954834,8625783201,4167.870117,3321370000,198.6655884,2838500,89.17823792,10631600,3.59
2/5/2023,28680.53711,16432924527,1870.789307,7536785767,4119.580078,4486130000,196.2377014,2700600,90.04573059,6085800,3.44
3/5/2023,29006.30859,19122972518,1904.651855,8306390869,4090.75,4246510000,195.0911865,2154000,90.44330597,5637200,3.38
4/5/2023,28847.71094,15548678514,1877.704102,6578438233,4061.219971,4920090000,193.6363373,2577600,90.33488464,5262200,3.37
5/5/2023,29534.38477,17936566518,1995.060913,9498261360,4136.25,4186270000,197.2107697,1942300,90.04573059,4003000,3.44
8/5/2023,27694.27344,19122903752,1849.042725,9895102899,4138.120117,3641640000,197.4227295,2632600,89.54873657,5481300,3.52
9/5/2023,27658.77539,14128593256,1848.603149,6129516088,4119.169922,3810140000,196.6134491,1802500,89.46738434,5712200,3.53
10/5/2023,27621.75586,20656025026,1842.401489,9945549603,4137.640137,4057160000,197.4805756,2677600,90.04573059,4803000,3.43
11/5/2023,27000.78906,16724343943,1796.490601,8353828312,4130.620117,3752900000,197.2204285,2108300,90.31680298,7703800,3.39
12/5/2023,26804.99023,19313599897,1808.019775,9047198660,4124.080078,3533740000,196.7579803,2252400,89.81078339,4285900,3.46
15/5/2023,27192.69336,14413231792,1817.549927,6748889346,4136.279785,3562170000,197.5961609,3240000,89.58485413,8532600,3.5
16/5/2023,27036.65039,12732238816,1824.12146,5595959668,4109.899902,3654200000,196.0642853,1884400,89.37703705,6728500,3.54
17/5/2023,27398.80273,15140006925,1821.859619,6352161579,4158.77002,4039080000,198.6078033,2650100,89.24150085,6318700,3.57
18/5/2023,26832.20898,15222938600,1801.728516,5673124255,4198.049805,3980500000,200.582901,2370200,88.82582092,4811300,3.65
19/5/2023,26890.12891,11258983301,1812.589478,4796110259,4191.97998,4041900000,200.101181,2683900,88.62702942,10285900,3.7
22/5/2023,26851.27734,11056770492,1817.53479,4534841049,4192.629883,3728520000,200.447998,2229400,88.5457077,8551100,3.72
23/5/2023,27225.72656,13697203143,1854.380615,6820047160,4145.580078,4155320000,198.3283997,2386700,88.64511108,7641200,3.7
24/5/2023,26334.81836,16299104428,1800.099976,7101647419,4115.240234,0,196.7965088,2083700,88.41920471,7719200,3.73
25/5/2023,26476.20703,13851122697,1805.953735,6321689859,4151.279785,4147760000,198.1356964,2230400,88.0938797,5941300,3.83
26/5/2023,26719.29102,12711619225,1828.689697,5451414258,4205.450195,3715460000,200.7466888,2347000,88.1661911,3889800,3.8
30/5/2023,27702.34961,13251081851,1901.026611,5363439784,4205.52002,4228510000,200.8141174,2772300,88.75353241,7349900,3.69
31/5/2023,27219.6582,15656371534,1874.130493,5984512548,4179.830078,5980670000,199.609787,2325400,89.06981659,10559900,3.64
1/6/2023,26819.97266,14678970415,1862.201416,5640027197,4221.02002,4391860000,201.6041718,2696700,89.3398056,9029800,3.61
2/6/2023,27249.58984,14837415000,1907.256592,6097746022,4282.370117,4454200000,204.9377594,3018700,88.86867523,6877200,3.69
5/6/2023,25760.09766,21513292646,1811.828369,9246593033,4273.790039,3813290000,204.3982086,2249400,88.85961151,7246200,3.69
6/6/2023,27238.7832,21929670693,1884.494873,8704411776,4283.850098,3996560000,205.3327484,2227700,88.96833038,3816000,3.7
7/6/2023,26345.99805,19530045082,1832.395996,7919894455,4267.52002,4537800000,204.9281006,2272800,88.49720001,5131500,3.79
8/6/2023,26508.2168,11904824295,1846.30188,4536041931,4293.930176,3826740000,205.8915558,1943100,88.96833038,5041900,3.73
9/6/2023,26480.375,11015551640,1840.22522,4610831509,4298.859863,3786510000,206.1131592,2084600,88.75996399,7140700,3.75
12/6/2023,25902.5,11677889997,1742.528687,6031384958,4338.930176,3945670000,207.9630127,2479900,88.91397095,5436300,3.73
13/6/2023,25918.72852,14143474486,1739.037598,6214125203,4369.009766,4275400000,209.4948883,4295700,88.49720001,9568100,3.84
14/6/2023,25124.67578,14265717766,1650.519287,7462905534,4372.589844,4252110000,209.4948883,4131000,88.57874298,8360100,3.83
15/6/2023,25576.39453,15837384409,1665.519775,7328564880,4425.839844,4176690000,212.0480804,2895100,89.19483185,7472000,3.72
16/6/2023,26327.46289,16324646965,1716.668823,6281023479,4409.589844,6848600000,211.2483978,4763700,88.91397095,5653700,3.77
20/6/2023,28327.48828,22211859147,1792.119995,7171072578,4388.709961,4055790000,210.2078705,3156500,89.07705688,6694200,3.74
21/6/2023,30027.29688,33346760979,1891.007202,11731457711,4365.689941,3709330000,209.0516815,2713400,89.22202301,5579900,3.72
22/6/2023,29912.28125,20653160491,1872.942993,8477657143,4381.890137,3511000000,209.6105347,2669100,88.75996399,7147600,3.8
23/6/2023,30695.46875,24115570085,1892.862061,8290615074,4348.330078,6053620000,207.8764496,3338400,89.02268219,4792900,3.74
26/6/2023,30271.13086,16493186997,1859.432861,8619702292,4328.819824,3415030000,207.151123,2846800,89.13140106,10632300,3.72
27/6/2023,30688.16406,16428827944,1889.703369,7686042202,4378.410156,3573500000,209.6753387,2653000,88.95927429,7803300,3.77
28/6/2023,30086.24609,14571500779,1827.971191,7135265016,4376.859863,3739330000,209.8493805,4362100,89.22202301,8622900,3.71
29/6/2023,30445.35156,13180860821,1852.227295,5677228612,4396.439941,3696660000,210.8552399,2857900,88.53344727,8877500,3.85
30/6/2023,30477.25195,26387306197,1933.188965,12895131248,4450.379883,3923450000,213.0409393,3444100,88.74182892,13417300,3.81
3/7/2023,31156.43945,15271884873,1955.38916,7858509087,4455.589844,2034280000,213.6792908,2423600,88.63737488,3691600,3.86
5/7/2023,30514.16602,12481622280,1910.588013,6034088075,4446.819824,3482620000,213.0312958,3341400,88.23769379,6046200,3.95
6/7/2023,29909.33789,21129219509,1848.636475,8905008384,4411.589844,3682020000,211.1356812,3404300,87.66545868,9534200,4.05
